epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6978,0.9362,1.62363,1.21575,0.43266,0.44573,0.42648,0.31963,0.85704,1.25569,1.17448,0.00041585,0.00041585,0.00041585
2,169.613,0.96547,1.11942,1.22321,0.82394,0.48318,0.55639,0.41488,0.88434,1.01489,1.18188,0.000791307,0.000791307,0.000791307
3,248.888,0.97069,0.99838,1.22806,0.37188,0.63904,0.55091,0.37604,0.85004,1.02394,1.17272,0.00112551,0.00112551,0.00112551
4,327.58,0.93689,0.91742,1.20792,0.83983,0.50126,0.59893,0.43031,0.85963,0.78802,1.14668,0.00106437,0.00106437,0.00106437
5,406.064,0.88914,0.83152,1.17531,0.84614,0.54876,0.62866,0.45823,0.77305,0.66167,1.11091,0.0010025,0.0010025,0.0010025
6,484.235,0.85394,0.76747,1.15269,0.89013,0.55373,0.73785,0.53008,0.72253,0.59359,1.07681,0.000940625,0.000940625,0.000940625
7,562.528,0.81773,0.72393,1.13208,0.87199,0.56038,0.67124,0.51565,0.72187,0.59209,1.08148,0.00087875,0.00087875,0.00087875
8,641.13,0.7993,0.69018,1.12397,0.89712,0.58318,0.70951,0.5373,0.69771,0.51873,1.0489,0.000816875,0.000816875,0.000816875
9,719.798,0.7798,0.65199,1.10454,0.55057,0.79823,0.71406,0.55822,0.67007,0.50732,1.03704,0.000755,0.000755,0.000755
10,798.367,0.76063,0.62736,1.09593,0.58282,0.6971,0.6847,0.53567,0.68276,0.50312,1.04891,0.000693125,0.000693125,0.000693125
11,876.473,0.67181,0.5517,1.04933,0.88917,0.59946,0.7029,0.53681,0.67365,0.53452,1.05465,0.00063125,0.00063125,0.00063125
12,953.975,0.64397,0.52292,1.03542,0.92268,0.6048,0.74479,0.57123,0.65183,0.48725,1.02737,0.000569375,0.000569375,0.000569375
13,1030.88,0.61474,0.48162,1.00994,0.63184,0.75257,0.74173,0.56184,0.67953,0.49554,1.05214,0.0005075,0.0005075,0.0005075
14,1107.88,0.59857,0.45758,1.00281,0.94326,0.6015,0.79234,0.59048,0.64009,0.47217,1.03026,0.000445625,0.000445625,0.000445625
15,1185.05,0.57454,0.42463,0.98672,0.60677,0.84991,0.77823,0.59398,0.6519,0.46343,1.02318,0.00038375,0.00038375,0.00038375
16,1262.95,0.55347,0.40819,0.97119,0.73077,0.73388,0.80416,0.60757,0.60744,0.43519,1.00049,0.000321875,0.000321875,0.000321875
17,1340.82,0.53375,0.38204,0.95427,0.6822,0.76909,0.79883,0.6196,0.59753,0.43812,0.99957,0.00026,0.00026,0.00026
18,1418.88,0.51826,0.36373,0.94487,0.69353,0.83331,0.80242,0.62395,0.59258,0.41737,0.99227,0.000198125,0.000198125,0.000198125
19,1496.83,0.49694,0.34523,0.93737,0.67162,0.82889,0.79871,0.61884,0.58216,0.40609,0.98945,0.00013625,0.00013625,0.00013625
20,1574.71,0.47938,0.3294,0.92621,0.70227,0.82848,0.81572,0.62646,0.57354,0.39504,0.98383,7.4375e-05,7.4375e-05,7.4375e-05
